2 0.035 0.000101 0.006 0.000022
3 0.063 0.000166 0.022 0.000084
4 0.072 0.000193 0.044 0.000149
5 0.083 0.000218 0.047 0.000154
6 0.097 0.000258 0.069 0.000201
7 0.107 0.000279 0.09 0.000233
8 0.123 0.000312 0.102 0.000261
9 0.132 0.000346 0.108 0.000256
10 0.154 0.000391 0.097 0.000224
